CurveName                     TVDBTDD          TVD              TVDSS            TwoWayTime       
TIME-CKS                       0.00             25.00            0.00             0.0000             
TIME-CKS                       1610.70          1635.70          -1610.70         1615.2000          
TIME-CKS                       1618.90          1643.90          -1618.90         1623.8000          
TIME-CKS                       1628.00          1653.00          -1628.00         1631.0000          
TIME-CKS                       1637.10          1662.10          -1637.10         1638.2000          
TIME-CKS                       1646.20          1671.20          -1646.20         1644.8000          
TIME-CKS                       1655.40          1680.40          -1655.40         1652.6000          
TIME-CKS                       1664.50          1689.50          -1664.50         1660.8000          
TIME-CKS                       1673.60          1698.60          -1673.60         1669.2000          
TIME-CKS                       1682.70          1707.70          -1682.70         1677.6000          
TIME-CKS                       1691.80          1716.80          -1691.80         1685.6000          
TIME-CKS                       1700.90          1725.90          -1700.90         1694.0000          
TIME-CKS                       1710.00          1735.00          -1710.00         1703.0000          
TIME-CKS                       1719.10          1744.10          -1719.10         1713.2000          
TIME-CKS                       1729.70          1754.70          -1729.70         1723.6000          
TIME-CKS                       1740.70          1765.70          -1740.70         1734.2000          
TIME-CKS                       1753.10          1778.10          -1753.10         1743.8000          
TIME-CKS                       1765.60          1790.60          -1765.60         1755.2000          
TIME-CKS                       1778.10          1803.10          -1778.10         1766.2000          
TIME-CKS                       1790.60          1815.60          -1790.60         1779.0000          
TIME-CKS                       1803.10          1828.10          -1803.10         1790.8000          
TIME-CKS                       1815.60          1840.60          -1815.60         1803.8000          
TIME-CKS                       1828.10          1853.10          -1828.10         1816.8000          
TIME-CKS                       1840.70          1865.70          -1840.70         1828.2000          
TIME-CKS                       1853.20          1878.20          -1853.20         1840.6000          
TIME-CKS                       1878.20          1903.20          -1878.20         1865.6000          
TIME-CKS                       1891.20          1916.20          -1891.20         1878.8000          
TIME-CKS                       1918.90          1943.90          -1918.90         1905.4000          
TIME-CKS                       1960.40          1985.40          -1960.40         1943.2000          
TIME-CKS                       1974.20          1999.20          -1974.20         1956.4000          
TIME-CKS                       2029.20          2054.20          -2029.20         2008.4000          
TIME-CKS                       2042.90          2067.90          -2042.90         2021.0000          
TIME-CKS                       2056.60          2081.60          -2056.60         2032.8000          
TIME-CKS                       2070.30          2095.30          -2070.30         2043.6000          
TIME-CKS                       2084.00          2109.00          -2084.00         2053.8000          
TIME-CKS                       2097.70          2122.70          -2097.70         2062.8000          
TIME-CKS                       2110.50          2135.50          -2110.50         2072.0000          
TIME-CKS                       2123.30          2148.30          -2123.30         2081.3999          
TIME-CKS                       2136.00          2161.00          -2136.00         2091.6001          
TIME-CKS                       2148.80          2173.80          -2148.80         2102.0000          
TIME-CKS                       2161.60          2186.60          -2161.60         2113.0000          
TIME-CKS                       2174.40          2199.40          -2174.40         2124.2000          
TIME-CKS                       2187.10          2212.10          -2187.10         2135.8000          
TIME-CKS                       2199.50          2224.50          -2199.50         2148.2000          
TIME-CKS                       2211.90          2236.90          -2211.90         2160.3999          
TIME-CKS                       2224.30          2249.30          -2224.30         2172.2000          
TIME-CKS                       2236.70          2261.70          -2236.70         2183.3999          
TIME-CKS                       2249.10          2274.10          -2249.10         2195.0000          
TIME-CKS                       2261.50          2286.50          -2261.50         2205.8000          
TIME-CKS                       2273.90          2298.90          -2273.90         2216.3999          
TIME-CKS                       2286.40          2311.40          -2286.40         2226.2000          
TIME-CKS                       2299.00          2324.00          -2299.00         2236.6001          
TIME-CKS                       2311.70          2336.70          -2311.70         2247.0000          
TIME-CKS                       2324.40          2349.40          -2324.40         2257.2000          
TIME-CKS                       2337.00          2362.00          -2337.00         2267.2000          
TIME-CKS                       2349.70          2374.70          -2349.70         2277.2000          
TIME-CKS                       2362.30          2387.30          -2362.30         2287.0000          
TIME-CKS                       2375.00          2400.00          -2375.00         2297.3999          
TIME-CKS                       2387.70          2412.70          -2387.70         2306.3999          
TIME-CKS                       2392.00          2417.00          -2392.00         2309.8000          
TIME-CKS                       2400.50          2425.50          -2400.50         2314.8000          
TIME-CKS                       2404.70          2429.70          -2404.70         2318.2000          
TIME-CKS                       2413.30          2438.30          -2413.30         2324.0000          
TIME-CKS                       2417.50          2442.50          -2417.50         2327.8000          
TIME-CKS                       2426.10          2451.10          -2426.10         2333.8000          
TIME-CKS                       2430.30          2455.30          -2430.30         2336.6001          
TIME-CKS                       2443.10          2468.10          -2443.10         2342.3999          
