Curve_Name                     TVDBTDD          TVD              TVDSS            TwoWayTime       
TIME-CKS                       0.00             25.00            0.00             0.0000             
TIME-CKS                       84.00            109.00           -84.00           113.0000           
TIME-CKS                       1031.00          1056.00          -1031.00         1097.0000          
TIME-CKS                       1045.30          1070.30          -1045.30         1108.6000          
TIME-CKS                       1059.10          1084.10          -1059.10         1120.0000          
TIME-CKS                       1072.30          1097.30          -1072.30         1132.6000          
TIME-CKS                       1095.20          1120.20          -1095.20         1151.0000          
TIME-CKS                       1106.90          1131.90          -1106.90         1161.0000          
TIME-CKS                       1118.00          1143.00          -1118.00         1172.8000          
TIME-CKS                       1128.00          1153.00          -1128.00         1184.4000          
TIME-CKS                       1146.60          1171.60          -1146.60         1202.0000          
TIME-CKS                       1156.80          1181.80          -1156.80         1212.8000          
TIME-CKS                       1167.20          1192.20          -1167.20         1221.2000          
TIME-CKS                       1177.80          1202.80          -1177.80         1232.0000          
TIME-CKS                       1245.80          1270.80          -1245.80         1294.0000          
TIME-CKS                       1256.30          1281.30          -1256.30         1303.8000          
TIME-CKS                       1266.90          1291.90          -1266.90         1313.6000          
TIME-CKS                       1277.30          1302.30          -1277.30         1320.4000          
TIME-CKS                       1287.50          1312.50          -1287.50         1326.0000          
TIME-CKS                       1297.60          1322.60          -1297.60         1333.2000          
TIME-CKS                       1307.40          1332.40          -1307.40         1342.8000          
TIME-CKS                       1317.00          1342.00          -1317.00         1354.6000          
TIME-CKS                       1326.60          1351.60          -1326.60         1367.4000          
TIME-CKS                       1336.40          1361.40          -1336.40         1377.8000          
TIME-CKS                       1346.50          1371.50          -1346.50         1388.4000          
TIME-CKS                       1356.70          1381.70          -1356.70         1399.0000          
TIME-CKS                       1366.70          1391.70          -1366.70         1408.0000          
TIME-CKS                       1376.80          1401.80          -1376.80         1416.8000          
TIME-CKS                       1387.00          1412.00          -1387.00         1427.6000          
TIME-CKS                       1397.30          1422.30          -1397.30         1438.0000          
TIME-CKS                       1407.50          1432.50          -1407.50         1444.6000          
TIME-CKS                       1417.80          1442.80          -1417.80         1453.8000          
TIME-CKS                       1428.20          1453.20          -1428.20         1463.0000          
TIME-CKS                       1438.60          1463.60          -1438.60         1472.2000          
TIME-CKS                       1446.40          1471.40          -1446.40         1480.4000          
TIME-CKS                       1456.80          1481.80          -1456.80         1490.2000          
TIME-CKS                       1467.20          1492.20          -1467.20         1497.2000          
TIME-CKS                       1477.60          1502.60          -1477.60         1507.2000          
TIME-CKS                       1490.50          1515.50          -1490.50         1519.4000          
TIME-CKS                       1501.00          1526.00          -1501.00         1529.0000          
TIME-CKS                       1511.40          1536.40          -1511.40         1537.8000          
TIME-CKS                       1521.70          1546.70          -1521.70         1548.2000          
TIME-CKS                       1532.10          1557.10          -1532.10         1558.6000          
TIME-CKS                       1542.50          1567.50          -1542.50         1567.4000          
TIME-CKS                       1552.80          1577.80          -1552.80         1578.0000          
TIME-CKS                       1563.20          1588.20          -1563.20         1587.4000          
TIME-CKS                       1573.50          1598.50          -1573.50         1596.4000          
TIME-CKS                       1583.90          1608.90          -1583.90         1605.6000          
TIME-CKS                       1594.20          1619.20          -1594.20         1615.0000          
TIME-CKS                       1604.50          1629.50          -1604.50         1623.8000          
TIME-CKS                       1614.80          1639.80          -1614.80         1633.2000          
TIME-CKS                       1625.10          1650.10          -1625.10         1642.4000          
TIME-CKS                       1635.40          1660.40          -1635.40         1651.2000          
TIME-CKS                       1645.70          1670.70          -1645.70         1661.0000          
TIME-CKS                       1656.10          1681.10          -1656.10         1672.6000          
TIME-CKS                       1666.40          1691.40          -1666.40         1680.6000          
TIME-CKS                       1676.80          1701.80          -1676.80         1689.6000          
TIME-CKS                       1687.10          1712.10          -1687.10         1698.8000          
TIME-CKS                       1697.40          1722.40          -1697.40         1707.2000          
TIME-CKS                       1707.80          1732.80          -1707.80         1717.2000          
TIME-CKS                       1718.20          1743.20          -1718.20         1727.6000          
TIME-CKS                       1728.70          1753.70          -1728.70         1738.6000          
TIME-CKS                       1739.30          1764.30          -1739.30         1750.4000          
TIME-CKS                       1749.90          1774.90          -1749.90         1760.8000          
TIME-CKS                       1760.50          1785.50          -1760.50         1771.4000          
TIME-CKS                       1771.00          1796.00          -1771.00         1781.8000          
TIME-CKS                       1781.50          1806.50          -1781.50         1791.2000          
TIME-CKS                       1792.10          1817.10          -1792.10         1800.4000          
TIME-CKS                       1802.70          1827.70          -1802.70         1808.6000          
TIME-CKS                       1813.30          1838.30          -1813.30         1819.0000          
TIME-CKS                       1824.00          1849.00          -1824.00         1830.0000          
TIME-CKS                       1834.80          1859.80          -1834.80         1839.0000          
TIME-CKS                       1845.40          1870.40          -1845.40         1848.2000          
TIME-CKS                       1855.90          1880.90          -1855.90         1858.8000          
TIME-CKS                       1866.60          1891.60          -1866.60         1866.8000          
TIME-CKS                       1877.30          1902.30          -1877.30         1875.6000          
TIME-CKS                       1887.90          1912.90          -1887.90         1885.0000          
TIME-CKS                       1898.70          1923.70          -1898.70         1896.2000          
TIME-CKS                       1909.60          1934.60          -1909.60         1907.0000          
TIME-CKS                       1920.30          1945.30          -1920.30         1916.2000          
TIME-CKS                       1930.70          1955.70          -1930.70         1924.8000          
TIME-CKS                       1941.20          1966.20          -1941.20         1934.6000          
TIME-CKS                       1951.90          1976.90          -1951.90         1942.4000          
TIME-CKS                       1962.50          1987.50          -1962.50         1951.8000          
TIME-CKS                       1973.00          1998.00          -1973.00         1961.8000          
TIME-CKS                       1983.60          2008.60          -1983.60         1971.6000          
TIME-CKS                       1994.40          2019.40          -1994.40         1979.2000          
TIME-CKS                       2005.10          2030.10          -2005.10         1988.2000          
TIME-CKS                       2015.80          2040.80          -2015.80         1996.6000          
TIME-CKS                       2026.20          2051.20          -2026.20         2010.0000          
TIME-CKS                       2046.00          2071.00          -2046.00         2016.4000          
TIME-CKS                       2056.00          2081.00          -2056.00         2025.6000          
TIME-CKS                       2066.90          2091.90          -2066.90         2032.6000          
TIME-CKS                       2077.40          2102.40          -2077.40         2040.8000          
TIME-CKS                       2088.70          2113.70          -2088.70         2050.8000          
TIME-CKS                       2099.90          2124.90          -2099.90         2060.0000          
TIME-CKS                       2111.30          2136.30          -2111.30         2069.8000          
TIME-CKS                       2122.80          2147.80          -2122.80         2076.8000          
TIME-CKS                       2134.30          2159.30          -2134.30         2086.2000          
TIME-CKS                       2146.00          2171.00          -2146.00         2095.6001          
TIME-CKS                       2157.80          2182.80          -2157.80         2105.6001          
TIME-CKS                       2169.60          2194.60          -2169.60         2120.3999          
TIME-CKS                       2181.60          2206.60          -2181.60         2132.3999          
TIME-CKS                       2193.70          2218.70          -2193.70         2142.6001          
TIME-CKS                       2205.80          2230.80          -2205.80         2152.6001          
TIME-CKS                       2217.90          2242.90          -2217.90         2165.0000          
TIME-CKS                       2254.20          2279.20          -2254.20         2192.0000          
TIME-CKS                       2266.40          2291.40          -2266.40         2200.0000          
TIME-CKS                       2278.70          2303.70          -2278.70         2209.3999          
TIME-CKS                       2291.20          2316.20          -2291.20         2219.0000          
TIME-CKS                       2303.60          2328.60          -2303.60         2228.2000          
TIME-CKS                       2316.10          2341.10          -2316.10         2239.6001          
TIME-CKS                       2328.60          2353.60          -2328.60         2250.2000          
TIME-CKS                       2341.20          2366.20          -2341.20         2260.2000          
TIME-CKS                       2353.80          2378.80          -2353.80         2271.8000          
TIME-CKS                       2366.50          2391.50          -2366.50         2283.0000          
TIME-CKS                       2379.10          2404.10          -2379.10         2293.6001          
