Vertical time-depth pairs from Rig Source and Normal Incidence VSP survey - Optimized for Petrel use

Contractor				: Schlumberger 
Wellname				: 15/9-F11 T2
Field name				: Volve
Curve name				: TZV_TIME_CHECKSHOT_OPTIMIZED
Depth datum			: MSL
Elevation of depth datum	: 0m
Time datum				: MSL
Elevation of time datum	: 0m
(MD = Measured Depth, TVD = True Vertical Depth & TWT = Two Way Time) 


In order to optimize the time-depth curve to be used in Petrel, a combination was made using:
1. RSVSP vertical time using straight ray assumption method - shallow part
2. RSVSP vertical time using ray tracing with dummy NIVSP geometry - middle part
3. NIVSP vertical time using straight ray assumption method - bottom part


    Depth         Depth          Time
    MD RKB      TVD - MSL        TWT
      m             m             ms

    689.61        634.43       717.474
    704.72        649.53       730.356
    719.96        664.73       745.368
    735.20        679.91       760.804
    750.44        695.07       776.406
    765.73        710.23       791.716
    780.97        725.32       806.000
    796.21        740.36       820.102
    811.45        755.33       834.922
    826.61        770.18       848.714
    841.85        785.08       862.650
    857.09        799.95       876.422
    872.33        814.81       889.886
    887.60        829.72       903.902
    902.84        844.60       917.910
    918.08        859.53       932.890
    933.32        874.49       948.402
    948.66        889.56       963.226
    979.14        919.52       991.730
    994.38        934.50       1005.580
   1009.55        949.40       1019.522
   1024.79        964.38       1033.636
   1040.03        979.35       1048.348
   1055.27        994.33       1062.298
   1070.55       1009.34       1076.242
   1101.03       1039.15       1103.954
   1116.27       1053.92       1117.712
   1131.46       1068.51       1131.264
   1146.70       1083.00       1145.574
   1161.94       1097.34       1158.884
   1177.18       1111.51       1172.634
   1207.63       1139.68       1200.432
   1222.87       1153.77       1214.184
   1238.11       1167.81       1227.102
   1253.36       1181.81       1240.278
   1268.60       1195.81       1253.428
   1283.84       1209.90       1266.974
   1299.08       1224.09       1280.186
   1314.33       1238.31       1292.876
   1344.81       1266.62       1318.926
   1360.05       1280.64       1331.890
   1375.37       1294.72       1345.494
   1390.61       1308.67       1359.062
   1405.85       1322.53       1372.290
   1421.09       1336.25       1386.130
   1436.25       1349.75       1399.226
   1451.49       1363.20       1411.214
   1466.73       1376.50       1423.390
   1481.97       1389.67       1434.918
   1497.27       1402.76       1446.434
   1512.51       1415.68       1458.116
   1527.75       1428.50       1469.846
   1542.99       1441.21       1482.004
   1558.27       1453.88       1493.124
   1573.51       1466.51       1503.254
   1588.75       1479.15       1513.506
   1603.99       1491.78       1524.402
   1619.16       1504.32       1535.120
   1634.40       1516.90       1545.808
   1649.64       1529.48       1557.064
   1664.88       1542.06       1568.888
   1680.17       1554.68       1580.122
   1695.41       1567.25       1590.866
   1710.65       1579.83       1602.316
   1725.89       1592.49       1613.712
   1741.09       1605.30       1623.496
   1756.33       1618.29       1635.154
   1771.57       1631.46       1646.974
   1786.81       1644.78       1658.902
   1802.06       1658.26       1670.940
   1817.30       1671.87       1683.074
   1832.54       1685.63       1695.308
   1847.78       1699.54       1707.644
   1863.10       1713.65       1720.142
   1878.34       1727.82       1732.674
   1893.58       1742.10       1745.328
   1908.82       1756.48       1758.100
   1923.94       1770.85       1770.894
   1939.18       1785.42       1783.924
   1954.42       1800.09       1797.106
   1969.66       1814.84       1810.440
   1984.96       1829.75       1823.978
   2000.20       1844.68       1837.582
   2015.44       1859.67       1851.298
   2030.68       1874.73       1865.114
   2045.76       1889.67       1878.828
   2061.00       1904.80       1892.706
   2076.24       1919.96       1906.596
   2091.48       1935.14       1920.462
   2106.86       1950.48       1934.390
   2122.10       1965.70       1948.122
   2137.34       1980.92       1961.764
   2152.58       1996.14       1975.282
   2167.87       2011.40       1988.716
   2183.11       2026.59       2001.974
   2198.35       2041.76       2015.104
   2213.59       2056.90       2028.108
   2228.75       2071.92       2040.910
   2243.99       2086.98       2053.668
   2259.23       2101.97       2066.324
   2274.47       2116.89       2078.868
   2289.76       2131.79       2091.358
   2305.00       2146.58       2103.748
   2320.24       2161.30       2116.074
   2335.48       2175.95       2128.322
   2350.66       2190.44       2140.438
   2365.90       2204.89       2152.514
   2381.14       2219.23       2164.490
   2396.38       2233.45       2176.342
   2411.66       2247.58       2188.068
   2426.90       2261.54       2199.602
   2442.14       2275.36       2210.966
   2457.38       2289.02       2222.092
   2472.66       2302.53       2232.986
   2487.90       2315.85       2243.604
   2503.14       2329.00       2253.976
   2518.38       2342.00       2264.056
   2533.54       2354.73       2273.774
   2548.78       2367.30       2283.214
   2564.02       2379.63       2292.326
   2579.26       2391.74       2301.094
   2594.56       2403.65       2309.562
   2609.80       2415.29       2317.682
   2625.04       2426.67       2325.484
   2640.28       2437.78       2332.950
   2655.43       2448.56       2340.048
   2670.67       2459.12       2346.878
   2685.91       2469.42       2353.416
   2701.15       2479.43       2359.658
   2716.48       2489.17       2365.614
   2731.72       2498.53       2371.230
   2746.96       2507.61       2376.580
   2762.20       2516.46       2381.710
   2777.47       2525.09       2386.630
   2792.71       2533.41       2391.284
   2807.95       2541.39       2395.672
   2823.19       2549.06       2399.818
   2838.35       2556.47       2403.764
   2853.59       2563.71       2407.556
   2868.83       2570.77       2411.204
   2884.07       2577.71       2414.732
   2899.30       2584.52       2418.136
   2914.54       2591.11       2421.386
   2929.78       2597.46       2424.472
   2945.02       2603.55       2427.388
   2960.21       2609.29       2430.102
   2975.45       2614.70       2432.636
   2990.69       2619.72       2434.952
   3005.93       2624.26       2437.032
   3021.29       2628.36       2438.892
   3036.53       2631.96       2440.510
   3051.77       2635.08       2441.904
   3067.01       2637.78       2443.106
   3082.54       2640.27       2444.210
   3097.78       2642.48       2445.180
   3113.02       2644.58       2446.102
   3128.26       2646.69       2447.022
   3142.98       2648.72       2447.906
   3158.22       2650.83       2448.818
   3173.46       2652.94       2449.728
   3188.70       2655.05       2450.634
   3204.15       2657.18       2451.548
   3219.39       2659.27       2452.442
   3234.63       2661.37       2453.332
   3249.87       2663.47       2454.218
   3265.03       2665.56       2455.098
   3280.27       2667.66       2455.980
   3295.51       2669.76       2456.858
   3310.75       2671.86       2457.734
   3326.06       2673.97       2458.610
   3341.30       2676.07       2459.478
   3356.54       2678.16       2460.346
   3371.78       2680.26       2461.210
   3387.15       2682.37       2462.080
   3402.39       2684.46       2462.940
   3417.63       2686.56       2463.800
   3432.87       2688.66       2464.658
   3447.86       2690.72       2465.498
   3463.10       2692.82       2466.352
   3478.34       2695.01       2467.242
   3493.58       2697.33       2468.182
   3508.96       2699.79       2469.174
   3524.20       2702.26       2470.170
   3539.44       2704.77       2471.178
   3554.68       2707.30       2472.190
   3569.87       2709.81       2473.194
   3585.11       2712.32       2474.194
   3600.35       2714.85       2475.200
   3615.59       2717.40       2476.212
   3630.86       2719.98       2477.228
   3646.10       2722.53       2478.236
   3661.34       2725.07       2479.236
   3676.58       2727.59       2480.234
   3691.85       2730.12       2481.230
   3707.09       2732.66       2482.232
   3722.33       2735.48       2483.348
   3737.57       2738.67       2484.606
   3752.74       2742.19       2486.002
   3767.98       2746.12       2487.552
   3783.22       2750.41       2489.252
   3798.46       2755.06       2491.090
   3813.75       2760.05       2493.068
   3828.99       2765.37       2495.174
   3844.23       2771.10       2497.442
   3859.47       2777.24       2499.890
   3874.67       2783.76       2502.504
   3889.91       2790.61       2505.276
   3905.15       2797.78       2508.202
   3920.39       2805.31       2517.780
   3935.68       2813.25       2522.100
   3950.92       2821.56       2526.820
   3966.16       2830.29       2531.880
   3981.40       2839.46       2536.960
