Wellbore name	Top depth [m]	Bottom depth [m]	Lithostrat. unit	Level	NPDID lithostrat. unit	Wellbore completion date	NPDID wellbore	Date updated	Date sync NPD
15/2-1	706	842	UTSIRA FM	FORMATION	183	24.02.1982	308		22.06.2018
15/2-1	1150	1199	SKADE FM	FORMATION	145	24.02.1982	308		22.06.2018
15/2-1	1199	1428	NO FORMAL NAME	FORMATION	111	24.02.1982	308		22.06.2018
15/2-1	1428	1824	GRID FM	FORMATION	53	24.02.1982	308		22.06.2018
15/2-1	1824	2058	NO FORMAL NAME	FORMATION	111	24.02.1982	308		22.06.2018
15/2-1	2058	2103	BALDER FM	FORMATION	6	24.02.1982	308		22.06.2018
15/2-1	2103	2118	INTRA BALDER FM SS	FORMATION	7	24.02.1982	308		22.06.2018
15/2-1	2118	2148	BALDER FM	FORMATION	6	24.02.1982	308		22.06.2018
15/2-1	2148	2178	SELE FM	FORMATION	142	24.02.1982	308		22.06.2018
15/2-1	2178	2236	LISTA FM	FORMATION	95	24.02.1982	308		22.06.2018
15/2-1	2236	2494	HEIMDAL FM	FORMATION	62	24.02.1982	308		22.06.2018
15/2-1	2494	2572	LISTA FM	FORMATION	95	24.02.1982	308		22.06.2018
15/2-1	2572	2640	TY FM	FORMATION	176	24.02.1982	308		22.06.2018
15/2-1	2640	2655	VÅLE FM	FORMATION	190	24.02.1982	308		22.06.2018
15/2-1	2655	2731	EKOFISK FM	FORMATION	33	24.02.1982	308		22.06.2018
15/2-1	2731	2920	TOR FM	FORMATION	171	24.02.1982	308		22.06.2018
15/2-1	2920	3506	HOD FM	FORMATION	66	24.02.1982	308		22.06.2018
15/2-1	3506	3551	BLODØKS FM	FORMATION	13	24.02.1982	308		22.06.2018
15/2-1	3551	3668	HIDRA FM	FORMATION	65	24.02.1982	308		22.06.2018
15/2-1	3668	3733	RØDBY FM	FORMATION	137	24.02.1982	308		22.06.2018
15/2-1	3733	3805	SOLA FM	FORMATION	152	24.02.1982	308		22.06.2018
15/2-1	3805	3878	ÅSGARD FM	FORMATION	198	24.02.1982	308		22.06.2018
15/2-1	3878	4211	DRAUPNE FM	FORMATION	28	24.02.1982	308		22.06.2018
15/2-1	4211	4356	HEATHER FM	FORMATION	60	24.02.1982	308		22.06.2018
15/2-1	4356	4393	HUGIN FM	FORMATION	69	24.02.1982	308		22.06.2018
15/2-1	4393	4555	SLEIPNER FM	FORMATION	148	24.02.1982	308		22.06.2018
15/3-1 S	673	846	UTSIRA FM	FORMATION	183	06.07.1975	309		22.06.2018
15/3-1 S	1460	2147	GRID FM	FORMATION	53	06.07.1975	309		22.06.2018
15/3-1 S	2147	2198	BALDER FM	FORMATION	6	06.07.1975	309		22.06.2018
15/3-1 S	2198	2215	SELE FM	FORMATION	142	06.07.1975	309		22.06.2018
15/3-1 S	2215	2239	HERMOD FM	FORMATION	64	06.07.1975	309		22.06.2018
15/3-1 S	2239	2332	LISTA FM	FORMATION	95	06.07.1975	309		22.06.2018
15/3-1 S	2332	2529	HEIMDAL FM	FORMATION	62	06.07.1975	309		22.06.2018
15/3-1 S	2529	2556	LISTA FM	FORMATION	95	06.07.1975	309		22.06.2018
15/3-1 S	2556	2715	TY FM	FORMATION	176	06.07.1975	309		22.06.2018
15/3-1 S	2715	2800	EKOFISK FM	FORMATION	33	06.07.1975	309		22.06.2018
15/3-1 S	2800	3178	JORSALFARE FM	FORMATION	74	06.07.1975	309		22.06.2018
15/3-1 S	3178	3615	KYRRE FM	FORMATION	92	06.07.1975	309		22.06.2018
15/3-1 S	3615	3698	BLODØKS FM	FORMATION	13	06.07.1975	309		22.06.2018
15/3-1 S	3698	3812	SVARTE FM	FORMATION	160	06.07.1975	309		22.06.2018
15/3-1 S	3947	4754	DRAUPNE FM	FORMATION	28	06.07.1975	309		22.06.2018
15/3-1 S	4754	4986	HEATHER FM	FORMATION	60	06.07.1975	309		22.06.2018
15/3-1 S	4986	5129	HUGIN FM	FORMATION	69	06.07.1975	309		22.06.2018
15/3-2	579	643	UTSIRA FM	FORMATION	183	24.01.1977	310		22.06.2018
15/3-2	643	670	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	925	979	SKADE FM	FORMATION	145	24.01.1977	310		22.06.2018
15/3-2	979	1122	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	1122	1151	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	1151	1402	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	1402	1617	GRID FM	FORMATION	53	24.01.1977	310		22.06.2018
15/3-2	1617	1752	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	1752	1775	GRID FM	FORMATION	53	24.01.1977	310		22.06.2018
15/3-2	1775	2082	NO FORMAL NAME	FORMATION	111	24.01.1977	310		22.06.2018
15/3-2	2082	2142	BALDER FM	FORMATION	6	24.01.1977	310		22.06.2018
15/3-2	2142	2182	SELE FM	FORMATION	142	24.01.1977	310		22.06.2018
15/3-2	2182	2338	HEIMDAL FM	FORMATION	62	24.01.1977	310		22.06.2018
15/3-2	2338	2437	LISTA FM	FORMATION	95	24.01.1977	310		22.06.2018
15/3-2	2437	2648	TY FM	FORMATION	176	24.01.1977	310		22.06.2018
15/3-2	2648	2688	VÅLE FM	FORMATION	190	24.01.1977	310		22.06.2018
15/3-2	4236	4258	DRAUPNE FM	FORMATION	28	24.01.1977	310		22.06.2018
15/3-2 R	579	643	UTSIRA FM	FORMATION	183	27.11.1977	311		22.06.2018
15/3-2 R	643	670	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	925	979	SKADE FM	FORMATION	145	27.11.1977	311		22.06.2018
15/3-2 R	979	1122	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	1122	1151	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	1151	1402	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	1402	1617	GRID FM	FORMATION	53	27.11.1977	311		22.06.2018
15/3-2 R	1617	1752	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	1752	1775	GRID FM	FORMATION	53	27.11.1977	311		22.06.2018
15/3-2 R	1775	2082	NO FORMAL NAME	FORMATION	111	27.11.1977	311		22.06.2018
15/3-2 R	2082	2142	BALDER FM	FORMATION	6	27.11.1977	311		22.06.2018
15/3-2 R	2142	2182	SELE FM	FORMATION	142	27.11.1977	311		22.06.2018
15/3-2 R	2182	2338	HEIMDAL FM	FORMATION	62	27.11.1977	311		22.06.2018
15/3-2 R	2338	2437	LISTA FM	FORMATION	95	27.11.1977	311		22.06.2018
15/3-2 R	2437	2648	TY FM	FORMATION	176	27.11.1977	311		22.06.2018
15/3-2 R	2648	2688	VÅLE FM	FORMATION	190	27.11.1977	311		22.06.2018
15/3-2 R	4236	4352	DRAUPNE FM	FORMATION	28	27.11.1977	311		22.06.2018
15/3-2 R	4352	4400	HEATHER FM	FORMATION	60	27.11.1977	311		22.06.2018
15/3-2 R	4400	4512	INTRA HEATHER FM SS	FORMATION	59	27.11.1977	311		22.06.2018
15/3-2 R	4512	4551	HEATHER FM	FORMATION	60	27.11.1977	311		22.06.2018
15/3-2 R	4551	4615	INTRA HEATHER FM SS	FORMATION	59	27.11.1977	311		22.06.2018
15/3-2 R	4615	4644	HEATHER FM	FORMATION	60	27.11.1977	311		22.06.2018
15/3-2 R	4644	4651	INTRA HEATHER FM SS	FORMATION	59	27.11.1977	311		22.06.2018
15/3-2 R	4651	4677	HEATHER FM	FORMATION	60	27.11.1977	311		22.06.2018
15/3-2 R	4677	4696	INTRA HEATHER FM SS	FORMATION	59	27.11.1977	311		22.06.2018
