Wellbore name	Top depth [m]	Bottom depth [m]	Lithostrat. unit	Level	NPDID lithostrat. unit	Wellbore completion date	NPDID wellbore	Date updated	Date sync NPD
15/2-1	134	842	NORDLAND GP	GROUP	113	24.02.1982	308		22.06.2018
15/2-1	842	2058	HORDALAND GP	GROUP	67	24.02.1982	308		22.06.2018
15/2-1	2058	2655	ROGALAND GP	GROUP	131	24.02.1982	308		22.06.2018
15/2-1	2655	3668	SHETLAND GP	GROUP	143	24.02.1982	308		22.06.2018
15/2-1	3668	3878	CROMER KNOLL GP	GROUP	23	24.02.1982	308		22.06.2018
15/2-1	3878	4356	VIKING GP	GROUP	188	24.02.1982	308		22.06.2018
15/2-1	4356	4555	VESTLAND GP	GROUP	186	24.02.1982	308		22.06.2018
15/2-1	4555	4600	ZECHSTEIN GP	GROUP	194	24.02.1982	308		22.06.2018
15/3-1 S	134	846	NORDLAND GP	GROUP	113	06.07.1975	309		22.06.2018
15/3-1 S	846	2147	HORDALAND GP	GROUP	67	06.07.1975	309		22.06.2018
15/3-1 S	2147	2715	ROGALAND GP	GROUP	131	06.07.1975	309		22.06.2018
15/3-1 S	2715	3812	SHETLAND GP	GROUP	143	06.07.1975	309		22.06.2018
15/3-1 S	3812	3947	CROMER KNOLL GP	GROUP	23	06.07.1975	309		22.06.2018
15/3-1 S	3947	4986	VIKING GP	GROUP	188	06.07.1975	309		22.06.2018
15/3-1 S	4986	5129	VESTLAND GP	GROUP	186	06.07.1975	309		22.06.2018
15/3-2	135	670	NORDLAND GP	GROUP	113	24.01.1977	310		22.06.2018
15/3-2	670	2082	HORDALAND GP	GROUP	67	24.01.1977	310		22.06.2018
15/3-2	2082	2688	ROGALAND GP	GROUP	131	24.01.1977	310		22.06.2018
15/3-2	2688	3913	SHETLAND GP	GROUP	143	24.01.1977	310		22.06.2018
15/3-2	3913	4236	CROMER KNOLL GP	GROUP	23	24.01.1977	310		22.06.2018
15/3-2	4236	4258	VIKING GP	GROUP	188	24.01.1977	310		22.06.2018
15/3-2 R	135	670	NORDLAND GP	GROUP	113	27.11.1977	311		22.06.2018
15/3-2 R	670	2082	HORDALAND GP	GROUP	67	27.11.1977	311		22.06.2018
15/3-2 R	2082	2688	ROGALAND GP	GROUP	131	27.11.1977	311		22.06.2018
15/3-2 R	2688	3913	SHETLAND GP	GROUP	143	27.11.1977	311		22.06.2018
15/3-2 R	3913	4236	CROMER KNOLL GP	GROUP	23	27.11.1977	311		22.06.2018
15/3-2 R	4236	4990	VIKING GP	GROUP	188	27.11.1977	311		22.06.2018
15/3-3	133	851	NORDLAND GP	GROUP	113	09.08.1979	313		22.06.2018
15/3-3	851	2176	HORDALAND GP	GROUP	67	09.08.1979	313		22.06.2018
15/3-3	2176	2692	ROGALAND GP	GROUP	131	09.08.1979	313		22.06.2018
15/3-3	2692	3743	SHETLAND GP	GROUP	143	09.08.1979	313		22.06.2018
15/3-3	3743	4017	CROMER KNOLL GP	GROUP	23	09.08.1979	313		22.06.2018
15/3-3	4017	4522	VIKING GP	GROUP	188	09.08.1979	313		22.06.2018
15/3-3	4522	5115	VESTLAND GP	GROUP	186	09.08.1979	313		22.06.2018
15/3-4	132	913	NORDLAND GP	GROUP	113	30.03.1982	314		22.06.2018
15/3-4	913	2258	HORDALAND GP	GROUP	67	30040	314		22.06.2018
15/3-4	2258	2763	ROGALAND GP	GROUP	131	30040	314		22.06.2018
15/3-4	2763	3525	SHETLAND GP	GROUP	143	30040	314		22.06.2018
15/3-4	3525	3675	CROMER KNOLL GP	GROUP	23	30040	314		22.06.2018
15/3-4	3675	3786	VIKING GP	GROUP	188	30040	314		22.06.2018
15/3-4	3786	4259	VESTLAND GP	GROUP	186	30040	314		22.06.2018
15/3-5	135	928	NORDLAND GP	GROUP	113	30815	52		22.06.2018
15/3-5	928	2236	HORDALAND GP	GROUP	67	30815	52		22.06.2018
15/3-5	2236	2803	ROGALAND GP	GROUP	131	30815	52		22.06.2018
15/3-5	2803	3623	SHETLAND GP	GROUP	143	30815	52		22.06.2018
15/3-5	3623	3808	CROMER KNOLL GP	GROUP	23	30815	52		22.06.2018
15/3-5	3808	3935	VIKING GP	GROUP	188	30815	52		22.06.2018
15/3-5	3935	4130	VESTLAND GP	GROUP	186	30815	52		22.06.2018
15/3-6	128	910	NORDLAND GP	GROUP	113	36165	3250		22.06.2018
15/3-6	910	2110	HORDALAND GP	GROUP	67	36165	3250		22.06.2018
15/3-6	2110	2724.5	ROGALAND GP	GROUP	131	36165	3250		22.06.2018
15/3-6	2724.5	2793	SHETLAND GP	GROUP	143	36165	3250		22.06.2018
15/3-7	127	929	NORDLAND GP	GROUP	113	37135	4055	42124	22.06.2018
15/3-7	929	2164	HORDALAND GP	GROUP	67	37135	4055		22.06.2018
15/3-7	2164	2696	ROGALAND GP	GROUP	131	37135	4055		22.06.2018
15/3-7	2696	3752	SHETLAND GP	GROUP	143	37135	4055		22.06.2018
15/3-7	3752	4049	CROMER KNOLL GP	GROUP	23	37135	4055		22.06.2018
15/3-7	4049	4607	VIKING GP	GROUP	188	37135	4055		22.06.2018
15/3-7	4607	4818	VESTLAND GP	GROUP	186	37135	4055		22.06.2018
15/3-8	132.5	858	NORDLAND GP	GROUP	113	38818	5175		22.06.2018
15/3-8	858	1136	HORDALAND GP	GROUP	67	38818	5175		22.06.2018
15/3-8	1136	1792	HORDALAND GP	GROUP	67	38818	5175		22.06.2018
15/3-8	1792	2164	HORDALAND GP	GROUP	67	38818	5175		22.06.2018
15/3-8	2164	2740	ROGALAND GP	GROUP	131	38818	5175		22.06.2018
15/3-8	2740	3793.5	SHETLAND GP	GROUP	143	38818	5175		22.06.2018
15/3-8	3793.5	3932.5	CROMER KNOLL GP	GROUP	23	38818	5175		22.06.2018
15/3-8	3932.5	4592	VIKING GP	GROUP	188	38818	5175		22.06.2018
15/3-9	131	875	NORDLAND GP	GROUP	113	40403	6354		22.06.2018
15/3-9	875	2209	HORDALAND GP	GROUP	67	40403	6354		22.06.2018
15/3-9	2209	2714	ROGALAND GP	GROUP	131	40403	6354		22.06.2018
15/3-9	2714	3720.5	SHETLAND GP	GROUP	143	40403	6354		22.06.2018
15/3-9	3720.5	3975	CROMER KNOLL GP	GROUP	23	40403	6354		22.06.2018
15/3-9	3975	4475	VIKING GP	GROUP	188	40403	6354		22.06.2018
15/3-9	4475	4654	VESTLAND GP	GROUP	186	40403	6354		22.06.2018
15/5-1	144	1150	NORDLAND GP	GROUP	113	28588	315		22.06.2018
15/5-1	1150	2057	HORDALAND GP	GROUP	67	28588	315		22.06.2018
15/5-1	2057	2644	ROGALAND GP	GROUP	131	28588	315		22.06.2018
15/5-1	2644	3363	SHETLAND GP	GROUP	143	28588	315		22.06.2018
15/5-1	3363	3492	CROMER KNOLL GP	GROUP	23	28588	315		22.06.2018
15/5-1	3492	3558	VIKING GP	GROUP	188	28588	315		22.06.2018
15/5-1	3558	3729	BRENT GP	GROUP	16	28588	315		22.06.2018
15/5-1	3729	3775	HEGRE GP	GROUP	61	28588	315		22.06.2018
15/5-2	145	910	NORDLAND GP	GROUP	113	28840	316		22.06.2018
15/5-2	910	2128	HORDALAND GP	GROUP	67	28840	316		22.06.2018
15/5-2	2128	2705	ROGALAND GP	GROUP	131	28840	316		22.06.2018
15/5-2	2705	3647	SHETLAND GP	GROUP	143	28840	316		22.06.2018
15/5-2	3647	3759	CROMER KNOLL GP	GROUP	23	28840	316		22.06.2018
15/5-2	3759	3960	VIKING GP	GROUP	188	28840	316		22.06.2018
15/5-2	3960	4113	BRENT GP	GROUP	16	28840	316		22.06.2018
15/5-2	4113	4322	HEGRE GP	GROUP	61	28840	316		22.06.2018
15/5-3	135	822	NORDLAND GP	GROUP	113	29562	207		22.06.2018
15/5-3	822	2055	HORDALAND GP	GROUP	67	29562	207		22.06.2018
15/5-3	2055	2595	ROGALAND GP	GROUP	131	29562	207		22.06.2018
15/5-3	2595	3510	SHETLAND GP	GROUP	143	29562	207		22.06.2018
15/5-3	3510	3665	CROMER KNOLL GP	GROUP	23	29562	207		22.06.2018
15/5-3	3665	3800	VIKING GP	GROUP	188	29562	207		22.06.2018
15/5-3	3800	4850	ZECHSTEIN GP	GROUP	194	29562	207		22.06.2018
15/5-3	4850	5042	UNDEFINED GP	GROUP	191	29562	207		22.06.2018
15/5-4	145	896	NORDLAND GP	GROUP	113	33422	1762		22.06.2018
15/5-4	896	2072	HORDALAND GP	GROUP	67	33422	1762		22.06.2018
15/5-4	2072	2300	ROGALAND GP	GROUP	131	33422	1762		22.06.2018
15/5-5	136.5	892.5	NORDLAND GP	GROUP	113	34977	2635		22.06.2018
15/5-5	892.5	2027	HORDALAND GP	GROUP	67	34977	2635		22.06.2018
15/5-5	2027	2598	ROGALAND GP	GROUP	131	34977	2635		22.06.2018
15/5-5	2598	2645	SHETLAND GP	GROUP	143	34977	2635		22.06.2018
15/5-6	133	895	NORDLAND GP	GROUP	113	35627	3113	42125	22.06.2018
15/5-6	895	2045	HORDALAND GP	GROUP	67	35627	3113		22.06.2018
15/5-6	2045	2674	ROGALAND GP	GROUP	131	35627	3113		22.06.2018
15/5-6	2674	2725	SHETLAND GP	GROUP	143	35627	3113		22.06.2018
15/5-7	145	991	NORDLAND GP	GROUP	113	39698	5842		22.06.2018
15/5-7	991	2110	HORDALAND GP	GROUP	67	39698	5842		22.06.2018
15/5-7	2110	2719	ROGALAND GP	GROUP	131	39698	5842		22.06.2018
15/5-7	2719	3399	SHETLAND GP	GROUP	143	39698	5842		22.06.2018
15/5-7	3399	3666	CROMER KNOLL GP	GROUP	23	39698	5842		22.06.2018
15/5-7	3666	3821	VIKING GP	GROUP	188	39698	5842		22.06.2018
15/5-7	3821	4008	VESTLAND GP	GROUP	186	39698	5842		22.06.2018
15/5-7	4008	4037	NO GROUP DEFINED	GROUP	208	39698	5842		22.06.2018
15/5-7 A	145	991	NORDLAND GP	GROUP	113	39734	5946		22.06.2018
15/5-7 A	991	2110	HORDALAND GP	GROUP	67	39734	5946		22.06.2018
15/5-7 A	2110	2719	ROGALAND GP	GROUP	131	39734	5946		22.06.2018
15/5-7 A	2719	3402	SHETLAND GP	GROUP	143	39734	5946		22.06.2018
15/5-7 A	3402	3728	CROMER KNOLL GP	GROUP	23	39734	5946		22.06.2018
15/5-7 A	3728	3973	VIKING GP	GROUP	188	39734	5946		22.06.2018
15/5-7 A	3973	4199	VESTLAND GP	GROUP	186	39734	5946		22.06.2018
15/6-1	125	996	NORDLAND GP	GROUP	113	26184	197		22.06.2018
15/6-1	996	1679	HORDALAND GP	GROUP	67	26184	197		22.06.2018
15/6-2 R	139	1009	NORDLAND GP	GROUP	113	27242	517		22.06.2018
15/6-2 R	1009	2112	HORDALAND GP	GROUP	67	27242	517		22.06.2018
15/6-2 R	2112	2735	ROGALAND GP	GROUP	131	27242	517		22.06.2018
15/6-2 R	2735	3383	SHETLAND GP	GROUP	143	27242	517		22.06.2018
15/6-2 R	3383	3438	CROMER KNOLL GP	GROUP	23	27242	517		22.06.2018
15/6-2 R	3438	3583	VIKING GP	GROUP	188	27242	517		22.06.2018
15/6-2 R	3583	3682	VESTLAND GP	GROUP	186	27242	517		22.06.2018
15/6-2 R	3682	4779	STATFJORD GP	GROUP	157	27242	517		22.06.2018
15/6-3	137	1036	NORDLAND GP	GROUP	113	27382	318		22.06.2018
15/6-3	1036	2142	HORDALAND GP	GROUP	67	27382	318		22.06.2018
15/6-3	2142	2698	ROGALAND GP	GROUP	131	27382	318		22.06.2018
15/6-3	2698	3346	SHETLAND GP	GROUP	143	27382	318		22.06.2018
15/6-3	3346	3402	CROMER KNOLL GP	GROUP	23	27382	318		22.06.2018
15/6-3	3402	3478	VIKING GP	GROUP	188	27382	318		22.06.2018
15/6-3	3478	3795	VESTLAND GP	GROUP	186	27382	318		22.06.2018
15/6-4	136	1017	NORDLAND GP	GROUP	113	27988	319		22.06.2018
15/6-4	1017	2174	HORDALAND GP	GROUP	67	27988	319		22.06.2018
15/6-4	2174	2605	ROGALAND GP	GROUP	131	27988	319		22.06.2018
15/6-4	2605	3157	SHETLAND GP	GROUP	143	27988	319		22.06.2018
15/6-4	3157	3222	VIKING GP	GROUP	188	27988	319		22.06.2018
15/6-4	3222	3268	VESTLAND GP	GROUP	186	27988	319	41767	22.06.2018
15/6-4	3268	3505	HEGRE GP	GROUP	61	27988	319		22.06.2018
15/6-5	132	1055	NORDLAND GP	GROUP	113	28458	320		22.06.2018
15/6-5	1055	2239	HORDALAND GP	GROUP	67	28458	320		22.06.2018
15/6-5	2239	2765	ROGALAND GP	GROUP	131	28458	320		22.06.2018
15/6-5	2765	3337	SHETLAND GP	GROUP	143	28458	320		22.06.2018
15/6-5	3337	3361	CROMER KNOLL GP	GROUP	23	28458	320		22.06.2018
15/6-5	3361	3627	VIKING GP	GROUP	188	28458	320		22.06.2018
15/6-5	3627	3723	VESTLAND GP	GROUP	186	28458	320	41767	22.06.2018
15/6-5	3723	3824	HEGRE GP	GROUP	61	28458	320		22.06.2018
15/6-6	135	1043	NORDLAND GP	GROUP	113	30111	38		22.06.2018
15/6-6	1043	2205	HORDALAND GP	GROUP	67	30111	38		22.06.2018
15/6-6	2205	2740	ROGALAND GP	GROUP	131	30111	38		22.06.2018
15/6-6	2740	3377	SHETLAND GP	GROUP	143	30111	38		22.06.2018
15/6-6	3377	3398	CROMER KNOLL GP	GROUP	23	30111	38		22.06.2018
15/6-6	3398	3563	VIKING GP	GROUP	188	30111	38		22.06.2018
15/6-6	3563	3655	VESTLAND GP	GROUP	186	30111	38		22.06.2018
15/6-6	3655	3760	NO GROUP DEFINED	GROUP	208	30111	38		22.06.2018
