Name	Operator	Licence number	Intent	Purpose	Purpose - planned	Status	Type	Subsea	SPUD date	Completion date	Predrilled entry date	Predrilled completion date	Field	Drill permit	Discovery name	Discovery wellbore	KBE	Final vert. depth (TVD)	Terminal Depth	Water depth	Kick off  point [m RKB]	Location	Facility	Drilling facility type	Drilling facility category	Production facility	Licensing activity awarded in	Multilateral	Content - planned	Entry year	Completed year	Reclassified from/to wellbore	Plot symbol	Geodatum	Latitude	Longitude	Surface Y	Surface X	Quadrant	Block	Publication date	Release date	Code	COUNTRY
15/3-A-5	Statoil Petroleum AS	025 	PLUGGED	OBSERVATION	OBSERVATION	OIL	DEVELOPMENT	 NO	17.11.2011	18.05.2014	06.10.2011	08.10.2011	GUDRUN	3401-P	15/3-1 S GUDRUN	NO	53.2	5294.0	5919.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2011	2014		99	ED50  	58.845117	1.743803	6523636.08	427503.81	15	3	43880	18116481		NORWAY
15/3-A-5 A	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	27.06.2014	12.07.2014			GUDRUN	3746-P	15/3-1 S GUDRUN	NO	63.9	4240.0	4851.0	109.0	4572.0	NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2014	2014		50	ED50  	58.845117	1.743803	6523636.08	427503.81	15	3	43880	18116481		NORWAY
15/3-A-6	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	GAS/CONDENSATE	DEVELOPMENT	 NO	21.10.2011	03.05.2014	06.09.2011	10.09.2011	GUDRUN	3402-P	15/3-1 S GUDRUN	NO	63.9	5040.0	5976.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	GAS/CONDENSATE	2011	2014		170	ED50  	58.845128	1.743839	6523637.28	427505.92	15	3	43880	18116481		NORWAY
15/3-A-7	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	13.11.2011	21.10.2014	09.10.2011	11.10.2011	GUDRUN	3403-P	15/3-1 S GUDRUN	NO	63.9	4231.0	4837.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2011	2014		50	ED50  	58.845147	1.743867	6523639.41	427507.56	15	3	43880	18116481		NORWAY
15/3-A-9	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	GAS	DEVELOPMENT	 NO	28.10.2011	08.03.2013	28.09.2011	30.09.2011	GUDRUN	3409-P	15/3-1 S GUDRUN	NO	53.2	4460.0	5706.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	GAS	2011	2013		90	ED50  	58.845097	1.743825	6523633.89	427505.05	15	3	43880	18116481		NORWAY
15/3-A-12	Statoil Petroleum AS	025 	PLUGGED	OBSERVATION	OBSERVATION	NOT APPLICABLE	DEVELOPMENT	 NO	15.10.2011	17.09.2012	01.10.2011	04.10.2011	GUDRUN	3404-P	15/3-1 S Gudrun	NO	53.2	4901.0	6180.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2011	2012		99	ED50  	58.845131	1.743936	6523637.48	427511.53	15	3	43880	18116481		NORWAY
15/3-A-13	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	09.11.2011	01.01.2015	12.09.2011	14.09.2011	GUDRUN	3405-P	15/3-1 S GUDRUN	NO	63.9	4277.0	5070.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2011	2015		50	ED50  	58.845078	1.743847	6523631.70	427506.29	15	3	43880	18116481		NORWAY
15/3-A-14	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	 NO	23.01.2015	14.06.2015	23.06.2013	25.06.2013	GUDRUN	3622-P	15/3-1 S Gudrun	NO	63.9	4139.0	5727.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	OIL	2015	2015		50	ED50  	58.845089	1.743883	6523632.90	427508.40	15	3	43880	18116481		NORWAY
15/3-A-16	Statoil Petroleum AS	025 	ONLINE/OPERATIONAL	PRODUCTION	PRODUCTION	GAS/CONDENSATE	DEVELOPMENT	 NO	03.11.2011	30.07.2015	16.09.2011	18.09.2011	GUDRUN	3406-P	15/3-1 S GUDRUN	NO	63.9	4780.0	6635.0	109.0		NORTH SEA	WEST EPSILON	JACK-UP 3 LEGS	MOVEABLE	GUDRUN	2-A	NO	GAS/CONDENSATE	2011	2015		170	ED50  	58.845111	1.743958	6523635.29	427512.78	15	3	43880	18116481		NORWAY
15/5-A-5 H	Statoil ASA (old)	048 B	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	YES	21.07.2003	19.08.2003			GLITNE	2306-P	15/5-5 Glitne	NO	52.0	2189.0	3840.0	111.5		NORTH SEA	MÆRSK INNOVATOR	JACK-UP 3 LEGS	MOVEABLE	15/5-A-5 H Glitne	Awarded additionally to round 3	NO	OIL	2003	2003		50	ED50  	58.712703	1.658431	6508989.07	422282.06	15	5	43904	1272071		NORWAY
15/5-A-7 H	Statoil ASA (old)	048 B	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	YES	08.06.2007	30.08.2007			GLITNE	2857-P	15/5-5 Glitne	NO	22.0	2174.0	4360.0	109.0		NORTH SEA	OCEAN VANGUARD	SEMISUB STEEL	MOVEABLE	15/5-A-7 H Glitne	Awarded additionally to round 3	NO	OIL	2007	2007		50	ED50  	58.712514	1.631125	6509000.01	420699.94	15	5	43904	1272071		NORWAY
15/5-A-7 AH	Statoil Petroleum AS	048 B	P&A	PRODUCTION	PRODUCTION	OIL	DEVELOPMENT	YES	11.05.2012	02.06.2012			GLITNE	3448-P	15/5-5 GLITNE	NO	25.0	2183.0	4122.0	109.0	1341.0	NORTH SEA	COSLPioneer	SEMISUB STEEL	MOVEABLE	15/5-A-7 H Glitne	Awarded additionally to round 3	NO	OIL	2012	2012		50	ED50  	58.712514	1.631125	6509000.01	420699.94	15	5	43904	1272071		NORWAY
15/5-B-1 H	Den norske stats oljeselskap a.s	048 B	P&A	INJECTION	INJECTION	WATER	DEVELOPMENT	YES	24.02.2001	08.03.2001			GLITNE	1909-P	15/5-5 Glitne	NO	25.0	2376.0	2376.0	110.0		NORTH SEA	BYFORD DOLPHIN	SEMISUB STEEL	MOVEABLE	15/5-B-1 H Glitne	Awarded additionally to round 3	NO	WATER/GAS	2001	2001		173	ED50  	58.732894	1.642617	6511255.57	421411.55	15	5	43904	1272071		NORWAY
