DEPT [M],AC [US/F],CALI [IN],DEN [G/CC],GR [GAPI],NEU [%],RDEP [OHMM],RMED [OHMM]
102.1568,nan,nan,nan,5.3274,nan,nan,nan
102.3092,nan,nan,nan,5.8235,nan,nan,nan
102.4616,nan,nan,nan,6.5228,nan,nan,nan
102.614,nan,nan,nan,7.2285,nan,nan,nan
102.7664,nan,nan,nan,9.502,nan,nan,nan
102.9188,nan,nan,nan,15.6696,nan,nan,nan
103.0712,nan,nan,nan,17.9443,nan,nan,nan
103.2236,nan,nan,nan,18.074,nan,nan,nan
103.376,nan,nan,nan,18.2037,nan,nan,nan
103.5284,nan,nan,nan,18.3334,nan,nan,nan
103.6808,nan,nan,nan,18.4631,nan,nan,nan
103.8332,nan,nan,nan,18.5928,nan,nan,nan
103.9856,nan,nan,nan,18.7225,nan,nan,nan
104.138,nan,nan,nan,18.8462,nan,nan,nan
104.2904,nan,nan,nan,18.9496,nan,nan,nan
104.4428,nan,nan,nan,19.0458,nan,nan,nan
104.5952,nan,nan,nan,19.142,nan,nan,nan
104.7476,nan,nan,nan,19.2382,nan,nan,nan
104.9,nan,nan,nan,19.3343,nan,nan,nan
105.0524,nan,nan,nan,19.4305,nan,nan,nan
105.2048,nan,nan,nan,19.5267,nan,nan,nan
105.3572,nan,nan,nan,19.6227,nan,nan,nan
105.5096,nan,nan,nan,19.7126,nan,nan,nan
105.662,nan,nan,nan,19.7824,nan,nan,nan
105.8144,nan,nan,nan,19.8448,nan,0.3665,0.4068
105.9668,nan,nan,nan,19.9073,nan,0.444,0.402
106.1192,nan,nan,nan,19.9698,nan,0.4426,0.402
106.2716,nan,nan,nan,20.0323,nan,0.4309,0.401
106.424,nan,nan,nan,20.0948,nan,0.4279,0.4
106.5764,nan,nan,nan,20.1573,nan,0.4249,0.399
106.7288,nan,nan,nan,20.2201,nan,0.4209,0.398
106.8812,nan,nan,nan,20.2915,nan,0.4178,0.398
107.0336,nan,nan,nan,20.3906,nan,0.4138,0.399
107.186,nan,nan,nan,20.4995,nan,0.4099,0.399
107.3384,nan,nan,nan,20.6084,nan,0.4071,0.4
107.4908,nan,nan,nan,20.7174,nan,0.4113,0.4
107.6432,nan,nan,nan,20.8263,nan,0.4411,0.401
107.7956,nan,nan,nan,20.9352,nan,0.4875,0.401
107.948,nan,nan,nan,21.042,nan,0.539,0.402
108.1004,nan,nan,nan,21.0982,nan,0.5749,0.4031
108.2528,nan,nan,nan,20.9985,nan,0.5151,0.4051
108.4052,nan,nan,nan,20.8433,nan,0.4768,0.4061
108.5576,nan,nan,nan,20.6881,nan,0.4371,0.4071
108.71,nan,nan,nan,20.5329,nan,0.4212,0.4091
108.8624,nan,nan,nan,20.3778,nan,0.4066,0.4111
109.0148,nan,nan,nan,20.2225,nan,0.4001,0.4131
109.1672,nan,nan,nan,20.0685,nan,0.4011,0.4152
109.3196,nan,nan,nan,19.9365,nan,0.4021,0.4181
109.472,nan,nan,nan,19.8707,nan,0.403,0.4201
109.6244,nan,nan,nan,19.8283,nan,0.4031,0.4208
109.7768,nan,nan,nan,19.786,nan,0.4041,0.4177
109.9292,nan,nan,nan,19.7436,nan,0.4051,0.4127
110.0816,nan,nan,nan,19.7013,nan,0.4072,0.4085
110.234,nan,nan,nan,19.6589,nan,0.4101,0.4007
110.3864,nan,nan,nan,19.6156,nan,0.4123,0.3967
110.5388,nan,nan,nan,19.5558,nan,0.4171,0.3929
110.6912,nan,nan,nan,19.448,nan,0.4191,0.3919
110.8436,nan,nan,nan,19.3233,nan,0.4212,0.3911
110.996,nan,nan,nan,19.1986,nan,0.4241,0.3932
111.1484,nan,nan,nan,19.0738,nan,0.4269,0.3962
111.3008,nan,nan,nan,18.9491,nan,0.4392,0.3993
111.4532,nan,nan,nan,18.8244,nan,0.4553,0.4032
111.6056,nan,nan,nan,18.6997,nan,0.4724,0.4063
111.758,nan,nan,nan,18.5749,nan,0.4907,0.4103
111.9104,nan,nan,nan,18.4519,nan,0.5125,0.4142
112.0628,nan,nan,nan,18.3536,nan,0.543,0.4167
112.2152,nan,nan,nan,18.3246,nan,0.5631,0.4126
112.3676,nan,nan,nan,18.3202,nan,0.5388,0.4073
112.52,nan,nan,nan,18.3157,nan,0.502,0.4
112.6724,nan,nan,nan,18.3112,nan,0.4664,0.4001
112.8248,nan,nan,nan,18.3067,nan,0.4184,0.401
112.9772,nan,nan,nan,18.3031,nan,0.4118,0.4011
113.1296,nan,nan,nan,18.3123,nan,0.4099,0.4021
113.282,nan,nan,nan,18.356,nan,0.409,0.4031
113.4344,nan,nan,nan,18.4119,nan,0.4089,0.4041
113.5868,nan,nan,nan,18.4677,nan,0.408,0.4051
113.7392,nan,nan,nan,18.53,nan,0.4081,0.4059
113.8916,nan,nan,nan,18.6756,nan,0.4093,0.4048
114.044,nan,nan,nan,19.0451,nan,0.4133,0.4028
114.1964,nan,nan,nan,19.4928,nan,0.4267,0.4009
114.3488,nan,nan,nan,19.9405,nan,0.4438,0.4002
114.5012,nan,nan,nan,20.3882,nan,0.4624,0.4038
114.6536,nan,nan,nan,20.8183,nan,0.4873,0.4278
114.806,nan,nan,nan,21.0334,nan,0.5294,0.4985
114.9584,nan,nan,nan,20.6832,nan,0.5847,0.4582
115.1108,nan,nan,nan,20.1358,nan,0.6621,0.4347
115.2632,nan,nan,nan,19.5885,nan,0.6329,0.4316
115.4156,nan,nan,nan,19.0616,nan,0.5897,0.4272
115.568,nan,nan,nan,18.7724,nan,0.5688,0.4204
115.7204,nan,nan,nan,19.0976,nan,0.5478,0.4155
115.8728,nan,nan,nan,19.6364,nan,0.5202,0.4115
116.0252,nan,nan,nan,20.1751,nan,0.4967,0.4077
116.1776,nan,nan,nan,20.7139,nan,0.4776,0.4045
116.33,nan,nan,nan,21.2526,nan,0.4659,0.4006
116.4824,nan,nan,nan,21.7911,nan,0.4569,0.398
116.6348,nan,nan,nan,22.3295,nan,0.448,0.3981
116.7872,nan,nan,nan,22.8679,nan,0.4409,0.3992
116.9396,nan,nan,nan,23.3839,nan,0.443,0.4012
117.092,nan,nan,nan,23.6597,nan,0.4686,0.4031
117.2444,nan,nan,nan,23.3351,nan,0.5085,0.4041
117.3968,nan,nan,nan,22.8032,nan,0.562,0.405
117.5492,nan,nan,nan,22.2819,nan,0.577,0.4051
117.7016,nan,nan,nan,21.8702,nan,0.5852,0.4064
117.854,nan,nan,nan,21.7291,nan,0.5952,0.4103
118.0064,nan,nan,nan,21.6812,nan,0.6123,0.4205
118.1588,nan,nan,nan,21.6334,nan,0.6285,0.4309
118.3112,nan,nan,nan,21.5855,nan,0.6362,0.4377
118.4636,nan,nan,nan,21.5376,nan,0.622,0.4427
118.616,nan,nan,nan,21.5069,nan,0.6,0.4478
118.7684,nan,nan,nan,21.645,nan,0.5779,0.4537
118.9208,nan,nan,nan,22.1901,nan,0.5551,0.4588
119.0732,nan,nan,nan,22.875,nan,0.5269,0.4649
119.2256,nan,nan,nan,23.5598,nan,0.4993,0.4694
119.378,nan,nan,nan,24.2446,nan,0.4844,0.4647
119.5304,nan,nan,nan,24.9294,nan,0.4994,0.4555
119.6828,nan,nan,nan,25.5642,nan,0.5398,0.4463
119.8352,nan,nan,nan,25.7262,nan,0.5588,0.4411
119.9876,nan,nan,nan,24.7756,nan,0.5763,0.4332
120.14,nan,nan,nan,23.4445,nan,0.5855,0.4146
120.2924,nan,nan,nan,22.1135,nan,0.597,0.401
120.4448,nan,nan,nan,20.8168,nan,0.6171,0.4018
120.5972,nan,nan,nan,19.835,nan,0.6371,0.4075
120.7496,nan,nan,nan,19.5824,nan,0.6563,0.4204
120.902,nan,nan,nan,19.5784,nan,0.671,0.4489
121.0544,nan,nan,nan,19.5743,nan,0.6831,0.4748
121.2068,nan,nan,nan,19.5689,nan,0.6866,0.4719
121.3592,nan,nan,nan,19.5513,nan,0.6703,0.4589
121.5116,nan,nan,nan,19.5058,nan,0.6476,0.4443
121.664,nan,nan,nan,19.4509,nan,0.6266,0.4232
121.8164,nan,nan,nan,19.396,nan,0.6026,0.4124
121.9688,nan,nan,nan,19.3411,nan,0.5668,0.4033
122.1212,nan,nan,nan,19.2876,nan,0.5485,0.3993
122.2736,nan,nan,nan,19.2464,nan,0.5353,0.3947
122.426,nan,nan,nan,19.2327,nan,0.5313,0.387
122.5784,nan,nan,nan,19.2283,nan,0.5271,0.3818
122.7308,nan,nan,nan,19.2238,nan,0.5221,0.381
122.8832,nan,nan,nan,19.2194,nan,0.5171,0.3812
123.0356,nan,nan,nan,19.215,nan,0.5125,0.382
123.188,nan,nan,nan,19.2106,nan,0.5109,0.3822
123.3404,nan,nan,nan,19.21,nan,0.5162,0.383
123.4928,nan,nan,nan,19.2415,nan,0.5233,0.3832
123.6452,nan,nan,nan,19.3427,nan,0.5304,0.384
123.7976,nan,nan,nan,19.4675,nan,0.5383,0.3844
123.95,nan,nan,nan,19.5922,nan,0.5455,0.3864
